"Artista","artist_id","genres","mapped_genre"
"Amaia Montero","4LbuSjHhhAddvN44qXpRJo","latin arena pop, latin pop, spanish pop, spanish pop rock","pop"
"Anastacia","2siHvYaxjaW5rKVRiIrMYH","pop soul",""
"Bob Sinclar","5YFS41yoX0YuFY39fq21oN","disco house, filter house","disco house, house"
"Carlos Goñi","3pO5VjZ4wOHCMBXOvbMISG","bossa nova, brazilian classical, brazilian jazz, latin classical, mpb, violao","bossa nova, jazz, mpb"
"Coti","7fM0h2CG7zKqKc0jEa1b4R","gymcore",""
"Cristina Lliso","6QR1AY1rDfxPiRAOESq7ND","rock espanol",""
"David Summers","38DCnAQ5QAcMW9TSnsgYGt","pop, rock, rock en espanol","pop, rock"
"Diego Martín","11hjHVQqlILSd06PxUKpfW","pop","pop"
"Diego Torres","0LALueHEQunQ2d61fXGeZh","latin pop, pop argentino","pop"
"Efecto Mariposa","2fFrIDTV1Tk8MwAv4OJiY5","spanish pop, spanish pop rock","pop"
"Joana Zimmer","340O8IdnPypHteCD0Z5DPL","pop","pop"
"Luis Auserón","5be17joWI5uVyvMP9x48O3","musica aragonesa",""
"Mary J. Blige","1XkoF8ryArs86LZvFOkbyr","dance pop, hip pop, neo soul, r&b, urban contemporary","dance pop, hip hop, soul, r&b, urban contemporary"
"Moby","3OsRAKCvk37zwYcnzRf5XF","downtempo, electronica","electro"
"Mylo","5YjEVrNMrIRw2xGbjTN6Ti","disco house, filter house","disco house, house"
"Nacho Cano","3sNPNZwXgDcCY71Jqa7kMe","mexican pop, spanish pop","pop"
"Nelly Furtado","2jw70GZXlAI8QzWeY2bgRc","canadian latin, canadian pop, dance pop, pop","pop, dance pop"
"Revólver","7HrjlhMxsSmg9YUv8izpVu","rock espanol",""
"Santana","6GI52t8N5F02MxU0g5U69P","blues rock, classic rock, mexican classic rock","blues rock, classic rock"
"Shakira","0EmeFodog0BfCgMzAIvKQp","colombian pop, dance pop, latin pop, pop","pop, dance pop"
"Sérgio Mendes","65c5si0ePAwkOCn4M35Ho7","bossa nova, brazilian jazz, samba","bossa nova, jazz, samba"
"The Pussycat Dolls","6wPhSqRtPu1UhRCDX5yaDJ","dance pop, girl group, pop","dance pop, other, pop"
"Álex Ubago","2tY2GFdhH0Wa2VBvsxew5X","latin arena pop, latin pop, spanish pop, spanish pop rock","pop"
"Alejandro Sanz","5sUrlPAHlS9NEirDB8SEbF","cantautor, latin arena pop, latin pop, mexican pop","pop"
"Andrés Calamaro","3tAICgiSR5PfYY4B8qsoAU","argentine rock, cantautor, latin alternative, latin rock, pop argentino, rock en espanol","indie, rock, pop"
"Antonio Carmona","1YVEF2N8QHkkQ84LM51Xyo","flamenco, pop flamenco, rumba, spanish pop","pop"
"Chad Kroeger","7fJYw1vK9yWb8o51I8qHin","rock","rock"
"David Tavaré","0HXSR2BeI0nXqc6Nlr65eq","dance, electro, pop","electro, pop"
"Eros Ramazzotti","61J0BktHv7PuP3tjTPYXSX","italian adult pop, mexican pop","pop"
